index,brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty,total_number_of_pixels,total_pixels_per_square_of_diag
606,dell,Dell Inspiron 5330 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),1013.88,60,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,0,13.3,2560,1600,windows,1,4096000,23155.633444513536
310,lenovo,Lenovo ThinkBook 14 21DH00C1IH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ DOS),755.99,62,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,0,14.0,1920,1080,dos,1,2073600,10579.591836734693
117,infinix,Infinix Zerobook 13 ZL513 2023 Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win 11 Home),695.88,63,intel,core i7,14,20,32,SSD,1024,No secondary storage,0,intel,integrated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
288,samsung,Samsung Galaxy Book2 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),659.88,59,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,0,15.6,1920,1080,windows,No information,2073600,8520.710059171599
83,iball,iBall Excelance CompBook Laptop (AQC/ 2GB/ 32GB/Win10),117.6,41,intel,other,4,0,2,HDD,32,No secondary storage,0,intel,integrated,0,11.6,1366,768,windows,1,1049088,7796.432818073722
90,hp,HP Victus 15-fa1145TX Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),803.88,72,intel,core i5,8,12,16,SSD,1024,No secondary storage,0,nvidia,dedicated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
434,lenovo,Lenovo IdeaPad Slim 3 82RK011DIN Laptop (12th Gen Core i3/ 8GB/ 256GB SSD/ Win11),395.88,51,intel,core i3,6,8,8,SSD,256,No secondary storage,0,intel,integrated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
88,lenovo,Lenovo IdeaPad Slim 3 82X60013IN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),539.88,51,intel,core i3,5,6,8,SSD,512,No secondary storage,0,intel,integrated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
647,lg,LG gram360 16 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),1829.99,78,intel,core i7,12,16,16,SSD,1024,No secondary storage,0,intel,integrated,1,16.0,1600,2560,windows,1,4096000,16000.0
840,asus,Asus Vivobook S15 OLED 2023 S5504VA-MA741WS Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),1271.88,66,intel,core i7,14,20,16,SSD,512,No secondary storage,0,intel,integrated,0,15.6,2880,1620,windows,1,4665600,19171.597633136094
582,acer,Acer Predator 16 NH.QLUSI.005 Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),1919.88,79,intel,core i9,24,32,16,SSD,1024,No secondary storage,0,nvidia,dedicated,0,16.0,2560,1600,windows,1,4096000,16000.0
919,asus,Asus Zenbook S13 OLED 2023 UX5304VA-NQ542WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),1175.88,64,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,0,13.3,2880,1800,windows,1,5184000,29306.348578212444
319,lenovo,Lenovo Ideapad Slim 5 82XD006GIN Laptop (13th Gen Core i5/ 16 GB RAM/ 1TB SSD/ Win 11),887.88,57,intel,core i5,8,12,16,SSD,1024,No secondary storage,0,intel,integrated,0,14.0,1920,1200,windows,1,2304000,11755.102040816326
677,asus,Asus Vivobook 15 X1502ZA-EJ523WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),671.88,60,intel,core i5,12,16,8,SSD,512,No secondary storage,0,intel,integrated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
393,hp,HP Omen 17-cm2002TX Gaming Laptop (13th Gen Core i7/ 16 GB RAM/ 512 GB SSD/ Win 11/ 8 GB Graphics),1991.99,79,intel,core i7,16,24,16,SSD,512,No secondary storage,0,nvidia,dedicated,0,17.3,1920,1080,windows,1,2073600,6928.397206722576
3,hp,HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),613.2,73,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,dedicated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
107,hp,HP 15S-FQ5202TU Laptop (12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11),621.6,57,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
935,lenovo,Lenovo V15 G2 IJL 82QYA00HIN Laptop (Celeron N4500/ 8GB/ 256GB SSD/ DOS),263.88,43,intel,celeron,2,2,8,SSD,256,No secondary storage,0,intel,integrated,0,15.6,1920,1080,dos,1,2073600,8520.710059171599
480,hp,HP Pavilion 15-eg3018TU Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),910.68,59,intel,core i5,10,12,16,SSD,1024,No secondary storage,0,intel,integrated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
828,hp,HP Victus 15-fa0092TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),839.88,65,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
219,msi,MSI Thin GF63 11UC-1474IN Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),683.88,72,intel,core i5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,0,15.6,1920,1080,windows,2,2073600,8520.710059171599
286,apple,Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 512GB SSD/ MacOS),1595.88,45,apple,m2,8,8,8,SSD,512,No secondary storage,0,apple,apple,0,13.6,2560,1664,mac,1,4259840,23031.141868512113
6,apple,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),851.88,45,apple,m1,8,8,8,SSD,256,No secondary storage,0,apple,apple,0,13.3,2560,1600,mac,1,4096000,23155.633444513536
60,hp,HP 15s-eq2132AU Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),509.99,63,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
531,hp,HP 15S-EQ1550AU Laptop (AMD Ryzen 3 3250U/ 8 GB RAM/ 512 GB SSD/ Win 11),383.88,51,amd,ryzen 3,2,4,8,SSD,512,No secondary storage,0,amd,integrated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
324,dell,Dell Latitude 7440 14 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Pro),1824.0,59,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,1,14.0,1920,1200,windows,No information,2304000,11755.102040816326
904,acer,Acer Nitro 5 AN515-47 Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),934.68,72,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
592,hp,HP 15s-fr2515TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),441.48,60,intel,core i3,2,4,8,SSD,512,No secondary storage,0,intel,integrated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
465,hp,HP Victus 15-fb0158AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),623.88,67,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,dedicated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
103,infinix,Infinix INBook X2 Slim Series XL23 2023 Laptop (11th Gen Core i5/ 16GB/ 1TB SSD/ Win 11 Home),431.88,60,intel,core i5,4,8,16,SSD,1024,No secondary storage,0,intel,integrated,0,14.0,1920,1080,windows,1,2073600,10579.591836734693
939,acer,Acer Aspire 3 14 A314-36M Laptop (Intel Core i3 N305/ 8GB/ 512GB SSD/ Win11 Home),385.08,44,intel,core i3,8,8,8,SSD,512,No secondary storage,0,intel,integrated,0,14.0,1920,1080,windows,1,2073600,10579.591836734693
215,asus,Asus Vivobook 16X 2023 K3605ZF-MBN524WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),695.88,70,intel,core i5,8,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,0,16.0,1920,1200,windows,1,2304000,9000.0
308,hp,HP 250 G9 95X38PA Laptop (12th Gen Core i5/ 8GB/ 512 GB SSD/ DOS),690.0,51,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,0,15.6,1920,1080,dos,1,2073600,8520.710059171599
643,asus,Asus ROG Zephyrus G14 GA402NJ-L8094WS Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),1559.88,71,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,0,14.0,2560,1600,windows,1,4096000,20897.95918367347
962,lenovo,Lenovo ThinkBook 14 20VDA0V1IH Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ DOS),522.0,54,intel,core i3,2,4,8,SSD,512,No secondary storage,0,intel,integrated,0,14.0,1920,1080,dos,1,2073600,10579.591836734693
